n, bify,endo-unsafe,lavamoat-bify,lavamoat-node,lavamoat-node scuttle,node
0,0.1541544,0.668227757,0.40338467,0.493386424,0.295809161,0.075921184
25,0.258054278,0.748601202,1.828258073,2.495485037,0.295200119,0.081255883
