n, node,bify,bify+ses,bify+lavamoat,bify+lavamoat w/ harden
1,0.067159665,0.115741195,0.236454881,0.318665328,0.268590128
5000000,0.238282273,0.288172686,0.720906004,0.403458568,0.382720071
10000000,0.393078846,0.460626291,1.25883732,0.577634312,0.556870482
25000000,0.965471416,0.9953141,3.126143454,1.100198977,1.071848624
50000000,3.005099929,3.136035227,6.690841705,2.839575966,3.041755037
75000000,4.831385248,4.892328152,10.173584067,4.791575171,4.78557388
100000000,5.684994154,5.875062745,12.441147793,5.742756053,5.767287028
