n, bify,lavamoat-bify,lavamoat-node,lavamoat-node scuttle,node
0,0.07124471,0.123046969,0.38419579,0.351494766,0.080748464
1000,0.675272813,1.222754283,1.47738117,0.359153229,0.743164802
