n, node,bify,bify+ses,bify+lavamoat
1,0.0679647,0.104497343,0.213584162,0.339368186
50000,0.16249556,0.109819451,0.212650284,0.980622443
100000,0.258825126,0.116345056,0.223114692,1.633856114
250000,0.546708205,0.122145483,0.240685868,3.698061361
500000,1.009373401,0.143097051,0.265331691,7.1488632
750000,1.526561217,0.158570742,0.291662129,10.269990549
1000000,2.075056887,0.1667989,0.314469398,13.994980991
